category,brand,model,image_count,status,brand_id,matched_slug,note
2w,Keeway India,K300 SF,3,scraped_exact,keeway-india,k300-sf,
2w,Keeway India,RR300,3,scraped_exact,keeway-india,rr300,
2w,Keeway India,Sixties 300i,3,scraped_exact,keeway-india,sixties-300i,
2w,Keeway India,SR125,3,scraped_exact,keeway-india,sr125,
2w,Keeway India,SR250,3,scraped_exact,keeway-india,sr250,
2w,Keeway India,V302C,3,scraped_exact,keeway-india,v302c,
2w,Keeway India,Vieste 300,3,scraped_exact,keeway-india,vieste-300,
2w,Kinetic Green,DX,5,scraped_exact,kinetic-green,dx,
2w,Kinetic Green,E Luna,5,scraped_exact,kinetic-green,e-luna,
2w,Komaki,DT 3000,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,Flora,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,Ranger,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,SE,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,TN 95,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,Venice,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,X One,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,XGT CAT 2.0,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,XGT KM,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,Komaki,XGT X5,0,unavailable_on_source,komaki,,no confirmed BikeWale colour page
2w,KTM India,1390 Super Duke R,1,scraped_exact,ktm-india,1390-super-duke-r,
2w,KTM India,160 Duke,3,scraped_exact,ktm-india,160-duke,
2w,KTM India,200 Duke,4,scraped_exact,ktm-india,200-duke,
2w,KTM India,250 Adventure,2,scraped_exact,ktm-india,250-adventure,
2w,KTM India,250 Duke,2,scraped_exact,ktm-india,250-duke,
2w,KTM India,390 Adventure,2,scraped_exact,ktm-india,390-adventure,
2w,KTM India,390 Adventure R,1,scraped_exact,ktm-india,390-adventure-r,
2w,KTM India,390 Adventure X,2,scraped_exact,ktm-india,390-adventure-x,
2w,KTM India,390 Duke,3,scraped_exact,ktm-india,390-duke,
2w,KTM India,390 Enduro R,1,scraped_exact,ktm-india,390-enduro-r,
2w,KTM India,890 Duke R,1,scraped_exact,ktm-india,890-duke-r,
2w,KTM India,RC 160,3,scraped_exact,ktm-india,rc-160,
2w,KTM India,RC 200,4,scraped_exact,ktm-india,rc-200,
2w,KTM India,RC 390,3,scraped_exact,ktm-india,rc-390,
2w,Lectrix EV,LXS 2.0,5,scraped_exact,lectrix-ev,lxs-20,
2w,Lectrix EV,LXS 3.0,5,scraped_exact,lectrix-ev,lxs-30,
2w,Lectrix EV,NDuro,4,scraped_exact,lectrix-ev,nduro,
2w,Lectrix EV,SX25,4,scraped_exact,lectrix-ev,sx25,
2w,Lectrix EV,ZYRO,0,unavailable_on_source,lectrix-ev,,no confirmed BikeWale colour page
2w,Matter,Aera 5000,5,scraped_exact,matter,aera,
2w,Matter,Aera 5000+,5,scraped_exact,matter,aera,
2w,Moto Guzzi,V85 TT,4,scraped_exact,moto-guzzi,v85-tt,
2w,Moto Morini,Seiemmezzo,6,scraped_exact,moto-morini,seiemmezzo,
2w,Moto Morini,X-Cape,4,scraped_exact,moto-morini,x-cape,
2w,Numeros,Diplos,3,scraped_exact,numeros,diplos,
2w,Numeros,n-First,2,scraped_exact,numeros,n-first,
2w,Oben Electric,Rorr,2,scraped_exact,oben-electric,rorr,
2w,Oben Electric,Rorr EZ,4,scraped_exact,oben-electric,rorr-ez,
