category,brand,model,status,brand_id,matched_slug,image_count,note
2w,Hero MotoCorp,Destini Prime,scraped_exact,hero-motocorp,destini-prime,4,
2w,Hero MotoCorp,Glamour,scraped_exact,hero-motocorp,glamour,4,
2w,Hero MotoCorp,Glamour X 125,scraped_exact,hero-motocorp,glamour-x-125,5,
2w,Hero MotoCorp,Glamour Xtec,scraped_exact,hero-motocorp,glamour-xtec,4,
2w,Hero MotoCorp,HF Deluxe,scraped_exact,hero-motocorp,hf-deluxe,11,
2w,Hero MotoCorp,Karizma XMR,scraped_exact,hero-motocorp,karizma-xmr,4,
2w,Hero MotoCorp,Mavrick 440,scraped_exact,hero-motocorp,mavrick-440,5,
2w,Hero MotoCorp,Passion Plus,scraped_exact,hero-motocorp,passion-plus,3,
2w,Hero MotoCorp,Pleasure Plus,scraped_exact,hero-motocorp,pleasure-plus,7,
2w,Hero MotoCorp,Pleasure Plus Xtec,scraped_exact,hero-motocorp,pleasure-plus-xtec,4,
2w,Hero MotoCorp,Splendor Plus,scraped_exact,hero-motocorp,splendor-plus,8,
2w,Hero MotoCorp,Splendor Plus Xtec,scraped_exact,hero-motocorp,splendor-plus-xtec,7,
2w,Hero MotoCorp,Super Splendor Xtec,scraped_exact,hero-motocorp,super-splendor-xtec,4,
2w,Hero MotoCorp,Xoom 110,scraped_exact,hero-motocorp,xoom-110,6,
2w,Hero MotoCorp,Xoom 125,scraped_exact,hero-motocorp,xoom-125,4,
2w,Hero MotoCorp,Xoom 160,scraped_exact,hero-motocorp,xoom-160,4,
2w,Hero MotoCorp,XPulse 200 4V,scraped_exact,hero-motocorp,xpulse-200-4v,8,
2w,Hero MotoCorp,XPulse 210,scraped_exact,hero-motocorp,xpulse-210,4,
2w,Hero MotoCorp,Xtreme 125R,scraped_exact,hero-motocorp,xtreme-125r,11,
2w,Hero MotoCorp,Xtreme 160R,scraped_exact,hero-motocorp,xtreme-160r,2,
2w,Hero MotoCorp,Xtreme 160R 4V,scraped_exact,hero-motocorp,xtreme-160r-4v,5,
2w,Hero MotoCorp,Xtreme 250R,scraped_exact,hero-motocorp,xtreme-250r,3,
2w,Honda Motorcycle & Scooter India,Activa,scraped_exact,honda-hmsi,activa,10,
2w,Honda Motorcycle & Scooter India,Activa 125,scraped_exact,honda-hmsi,activa-125,8,
2w,Honda Motorcycle & Scooter India,Activa e,scraped_exact,honda-hmsi,activa-e,5,
2w,Honda Motorcycle & Scooter India,CB1000 Hornet,scraped_exact,honda-hmsi,cb1000-hornet,1,
2w,Honda Motorcycle & Scooter India,CB125 Hornet,scraped_exact,honda-hmsi,cb-125-hornet,4,
2w,Honda Motorcycle & Scooter India,CB300F,scraped_exact,honda-hmsi,cb300f,3,
2w,Honda Motorcycle & Scooter India,CB350RS,scraped_exact,honda-hmsi,cb350rs,6,
2w,Honda Motorcycle & Scooter India,CB650R,scraped_exact,honda-hmsi,cb650r,2,
2w,Honda Motorcycle & Scooter India,CB750 Hornet,scraped_exact,honda-hmsi,cb750-hornet,2,
